"time_queue0","size_count_queue0","time_queue1","size_count_queue1","time_nodeTx","size_count_nodeTx","time_nodeRx","size_count_nodeRx"
0.00026,1,0.00078,1,0.079587450457,1,0.279787450457,1
0.179687450457,1,0.280047450457,1,0.169443489305,1,0.379787450457,1
0.279687450457,1,0.480047450457,1,0.29503656511,1,0.49523656511,1
0.39513656511,1,0.680047450457,1,0.480996986317,1,0.681196986317,1
0.581096986317,1,0.880047450457,1,0.573319299464,1,0.781196986317,2
0.681096986317,1,1.080047450457,1,0.768473833052,1,0.968673833052,2
0.868573833052,1,1.280047450457,1,0.84719394705,1,1.068673833052,3
0.968573833052,1,1.480047450457,1,1.03509035247,1,1.23529035247,3
1.13519035247,1,1.680047450457,1,1.090195201137,1,1.33529035247,3
1.23519035247,1,1.880047450457,1,1.187895843776,1,1.43529035247,4
1.33519035247,1,2.080047450457,1,1.291711773842,1,1.53529035247,4
1.43519035247,1,2.280047450457,1,1.340224590214,1,1.63529035247,5
1.53519035247,1,2.480047450457,1,1.397776509902,2,1.73529035247,5
1.63519035247,1,2.680047450457,1,1.433092423816,3,1.83529035247,6
1.73519035247,1,2.880047450457,1,1.65544486602,1,1.93529035247,6
1.83519035247,1,3.080047450457,1,1.661283332929,2,2.03529035247,7
1.93519035247,1,3.280047450457,1,1.992774560922,1,2.192974560922,7
2.092874560922,1,3.480047450457,1,2.024610175006,1,2.292974560922,7
2.192874560922,1,3.680047450457,1,2.072970385501,2,2.392974560922,8
2.292874560922,1,3.880047450457,1,2.137915020326,2,2.492974560922,8
2.392874560922,1,4.080047450457,1,2.294804632088,1,2.592974560922,9
2.492874560922,1,4.280047450457,1,2.46202575212,1,2.692974560922,9
2.592874560922,1,4.480047450457,1,2.537293163451,1,2.792974560922,10
2.692874560922,1,4.680047450457,1,2.602681420173,1,2.892974560922,10
2.792874560922,1,4.880047450457,1,2.686624705463,2,2.992974560922,11
2.892874560922,1,5.080047450457,1,2.736511906365,2,3.092974560922,11
2.992874560922,1,5.280047450457,1,2.99633731495,1,3.19653731495,12
3.09643731495,1,5.480047450457,1,3.177174241377,1,3.377374241377,12
3.277274241377,1,5.680047450457,1,3.184542776924,1,3.477374241377,13
3.377274241377,1,5.880047450457,1,3.225700576548,2,3.577374241377,13
3.477274241377,1,6.080047450457,1,3.23481667916,3,3.677374241377,14
3.577274241377,1,6.280047450457,1,3.339277929991,3,3.777374241377,14
3.677274241377,1,6.480047450457,1,3.341320488831,4,3.877374241377,15
3.777274241377,1,6.680047450457,1,3.387245302557,4,3.977374241377,15
3.877274241377,1,6.880047450457,1,3.565994068901,4,4.077374241377,16
3.977274241377,1,7.080047450457,1,3.881011061769,1,4.177374241377,16
4.077274241377,1,7.280047450457,1,4.031589487633,1,4.277374241377,17
4.177274241377,1,7.480047450457,1,4.046712572999,2,4.377374241377,17
4.277274241377,1,7.680047450457,1,4.250743998793,1,4.477374241377,18
4.377274241377,1,7.880047450457,1,4.454833220384,1,4.655033220384,18
4.554933220384,1,8.080047450457,1,4.839355407298,1,5.039555407298,17
4.939455407298,1,8.280047450457,1,4.903526324566,1,5.139555407298,17
