"time_nodeTx","size_count_nodeTx_queue","time_queue","size_count_queue","time_nodeRx","size_count_nodeRx_queue"
0.079587450457,1,0.179687450457,1,0.279787450457,1
0.169443489305,1,0.279687450457,1,0.379787450457,1
0.29503656511,1,0.39513656511,1,0.49523656511,1
0.480996986317,1,0.581096986317,1,0.681196986317,1
0.573319299464,1,0.681096986317,1,0.781196986317,2
0.768473833052,1,0.868573833052,1,0.968673833052,2
0.84719394705,1,0.968573833052,1,1.068673833052,3
1.03509035247,1,1.13519035247,1,1.23529035247,3
1.090195201137,1,1.23519035247,1,1.33529035247,3
1.187895843776,1,1.33519035247,1,1.43529035247,4
1.291711773842,1,1.43519035247,1,1.53529035247,4
1.340224590214,1,1.53519035247,1,1.63529035247,5
1.397776509902,2,1.63519035247,1,1.73529035247,5
1.433092423816,3,1.73519035247,1,1.83529035247,6
1.65544486602,1,1.83519035247,1,1.93529035247,6
1.661283332929,2,1.93519035247,1,2.03529035247,7
1.992774560922,1,2.092874560922,1,2.192974560922,7
2.024610175006,1,2.192874560922,1,2.292974560922,7
2.072970385501,2,2.292874560922,1,2.392974560922,8
2.137915020326,2,2.392874560922,1,2.492974560922,8
2.294804632088,1,2.492874560922,1,2.592974560922,9
2.46202575212,1,2.592874560922,1,2.692974560922,9
2.537293163451,1,2.692874560922,1,2.792974560922,10
2.602681420173,1,2.792874560922,1,2.892974560922,10
2.686624705463,2,2.892874560922,1,2.992974560922,11
2.736511906365,2,2.992874560922,1,3.092974560922,11
2.99633731495,1,3.09643731495,1,3.19653731495,12
3.177174241377,1,3.277274241377,1,3.377374241377,12
3.184542776924,1,3.377274241377,1,3.477374241377,13
3.225700576548,2,3.477274241377,1,3.577374241377,13
3.23481667916,3,3.577274241377,1,3.677374241377,14
3.339277929991,3,3.677274241377,1,3.777374241377,14
3.341320488831,4,3.777274241377,1,3.877374241377,15
3.387245302557,4,3.877274241377,1,3.977374241377,15
3.565994068901,4,3.977274241377,1,4.077374241377,16
3.881011061769,1,4.077274241377,1,4.177374241377,16
4.031589487633,1,4.177274241377,1,4.277374241377,17
4.046712572999,2,4.277274241377,1,4.377374241377,17
4.250743998793,1,4.377274241377,1,4.477374241377,18
4.454833220384,1,4.554933220384,1,4.655033220384,18
4.839355407298,1,4.939455407298,1,5.039555407298,17
4.903526324566,1,5.039455407298,1,5.139555407298,17
5.064050280272,1,5.164150280272,1,5.264250280272,18
5.225450487761,1,5.325550487761,1,5.425650487761,18
5.287343433724,1,5.425550487761,1,5.525650487761,18
5.360839875843,1,5.525550487761,1,5.625650487761,19
5.512493473242,1,5.625550487761,1,5.725650487761,19
5.626087367413,1,5.726187367413,1,5.826287367413,20
5.638674808357,1,5.826187367413,1,5.926287367413,20
5.766197578579,1,5.926187367413,1,6.026287367413,21
5.868340766014,1,6.026187367413,1,6.126287367413,21
5.955572885518,1,6.126187367413,1,6.226287367413,22
5.971045853568,2,6.226187367413,1,6.326287367413,22
6.048129319415,2,6.326187367413,1,6.426287367413,23
6.337571367214,1,6.437671367214,1,6.537771367214,23
6.479707835223,1,6.579807835223,1,6.679907835223,23
6.553490564399,1,6.679807835223,1,6.779907835223,24
6.564685180462,2,6.779807835223,1,6.879907835223,24
6.618241752485,2,6.879807835223,1,6.979907835223,25
6.682411222688,2,6.979807835223,1,7.079907835223,25
6.713139257903,3,7.079807835223,1,7.179907835223,26
6.733759586106,4,7.179807835223,1,7.279907835223,26
6.882585068681,3,7.279807835223,1,7.379907835223,27
7.016114087143,3,7.379807835223,1,7.479907835223,27
7.077022329461,4,7.479807835223,1,7.579907835223,28
7.101427178535,4,7.579807835223,1,7.679907835223,28
7.185460649096,4,7.679807835223,1,7.779907835223,29
7.199988451825,5,7.779807835223,1,7.879907835223,29
7.201885308745,6,7.879807835223,1,7.979907835223,30
7.241062389813,7,7.979807835223,1,8.079907835223,30
7.33720048372,7,8.079807835223,1,8.179907835223,31
7.353414132665,8,8.179807835223,1,8.279907835223,31
7.448113800382,8,8.279807835223,1,8.379907835223,32
7.473257993589,9,8.379807835223,1,8.479907835223,32
7.569212791326,9,8.479807835223,1,8.579907835223,33
7.618068496257,9,8.579807835223,1,8.679907835223,33
7.905859998385,7,8.679807835223,1,8.779907835223,34
8.138751335806,6,8.779807835223,1,8.879907835223,34
8.253265231276,6,8.879807835223,1,8.979907835223,35
8.313039838958,6,8.979807835223,1,9.079907835223,35
8.357591688463,7,9.079807835223,1,9.179907835223,36
8.452541146813,7,9.179807835223,1,9.279907835223,36
